Year,Statistic,Name,Team,Value
2006,Batting Average,Freddy Sanchez,Pittsburgh,0.344
2006,Doubles,Freddy Sanchez,Pittsburgh,53.0
2006,Hits,Juan Pierre,Chicago,204.0
2006,Home Runs,Ryan Howard,Philadelphia,58.0
2006,On Base Percentage,Barry Bonds *,San Francisco,0.454
2006,RBI,Ryan Howard,Philadelphia,149.0
2006,Runs,Chase Utley,Philadelphia,131.0
2006,Slugging Average,Albert Pujols,St. Louis,0.671
2006,Stolen Bases,Jose Reyes,New York,64.0
2006,Total Bases,Ryan Howard,Philadelphia,383.0
2006,Triples,Jose Reyes,New York,17.0
1902,Base on Balls,Roy Thomas,Philadelphia,107.0
1902,Batting Average,Ginger Beaumont,Pittsburgh,0.357
1902,Doubles,Honus Wagner,Pittsburgh,30.0
1902,Hits,Ginger Beaumont,Pittsburgh,193.0
1902,Home Runs,Tommy Leach,Pittsburgh,6.0
1902,On Base Percentage,Roy Thomas,Philadelphia,0.414
1902,RBI,Honus Wagner,Pittsburgh,91.0
1902,Runs,Honus Wagner,Pittsburgh,105.0
1902,Slugging Average,Honus Wagner,Pittsburgh,0.463
1902,Stolen Bases,Honus Wagner,Pittsburgh,42.0
1902,Total Bases,Sam Crawford,Cincinnati,256.0
1902,Triples,Sam Crawford,Cincinnati,22.0
1916,Base on Balls,Heinie Groh,Cincinnati,84.0
1916,Batting Average,Hal Chase,Cincinnati,0.339
1916,Doubles,Bert Niehoff,Philadelphia,42.0
1916,Hits,Hal Chase,Cincinnati,184.0
1916,Home Runs,Dave Robertson,New York,12.0
1916,On Base Percentage,Gavvy Cravath,Philadelphia,0.379
1916,RBI,Heinie Zimmerman,Chicago,83.0
1916,Runs,George Burns,New York,105.0
1916,Slugging Average,Zack Wheat,Brooklyn,0.461
1916,Stolen Bases,Max Carey,Pittsburgh,63.0
1916,Total Bases,Zack Wheat,Brooklyn,262.0
1916,Triples,Bill Hinchman,Pittsburgh,16.0
1900,Base on Balls,Roy Thomas,Philadelphia,115.0
1900,Batting Average,Honus Wagner,Pittsburgh,0.381
1900,Doubles,Honus Wagner,Pittsburgh,45.0
1900,Hits,Willie Keeler,Brooklyn,204.0
1900,Home Runs,Herman Long,Boston,12.0
1900,On Base Percentage,John McGraw,St. Louis,0.505
1900,RBI,Elmer Flick,Philadelphia,110.0
1900,Runs,Roy Thomas,Philadelphia,132.0
1900,Slugging Average,Honus Wagner,Pittsburgh,0.573
1900,Stolen Bases,Patsy Donovan,St. Louis,45.0
1900,Total Bases,Honus Wagner,Pittsburgh,302.0
1900,Triples,Honus Wagner,Pittsburgh,22.0
1914,Base on Balls,Miller Huggins,St. Louis,105.0
1914,Batting Average,Jake Daubert,Brooklyn,0.329
1914,Doubles,Sherry Magee,Philadelphia,39.0
1914,Hits,Sherry Magee,Philadelphia,171.0
1914,Home Runs,Gavvy Cravath,Philadelphia,19.0
1914,On Base Percentage,Casey Stengel,Brooklyn,0.404
1914,RBI,Sherry Magee,Philadelphia,103.0
1914,Runs,George Burns,New York,100.0
1914,Slugging Average,Sherry Magee,Philadelphia,0.509
1914,Stolen Bases,George Burns,New York,62.0
1914,Total Bases,Sherry Magee,Philadelphia,277.0
1914,Triples,Max Carey,Pittsburgh,17.0
1928,Base on Balls,Rogers Hornsby,Boston,107.0
1928,Batting Average,Rogers Hornsby,Boston,0.387
1928,Doubles,Paul Waner,Pittsburgh,50.0
1928,Hits,Freddie Lindstrom,New York,231.0
1928,Home Runs,Jim Bottomley,St. Louis,31.0
1928,On Base Percentage,Rogers Hornsby,Boston,0.498
1928,RBI,Jim Bottomley,St. Louis,136.0
1928,Runs,Paul Waner,Pittsburgh,142.0
1928,Slugging Average,Rogers Hornsby,Boston,0.632
1928,Stolen Bases,Kiki Cuyler,Chicago,37.0
1928,Total Bases,Jim Bottomley,St. Louis,362.0
1928,Triples,Jim Bottomley,St. Louis,20.0
2010,Base on Balls,Prince Fielder,Milwaukee,114.0
2010,Batting Average,Carlos Gonzalez,Colorado,0.336
2010,Doubles,Jayson Werth,Philadelphia,46.0
2010,Hits,Carlos Gonzalez,Colorado,197.0
2010,Home Runs,Albert Pujols,St. Louis,42.0
2010,On Base Percentage,Joey Votto,Cincinnati,0.424
2010,RBI,Albert Pujols,St. Louis,118.0
2010,Runs,Albert Pujols,St. Louis,115.0
2010,Slugging Average,Joey Votto,Cincinnati,0.6
2010,Stolen Bases,Michael Bourn,Houston,52.0
2010,Total Bases,Carlos Gonzalez,Colorado,351.0
2010,Triples,Dexter Fowler,Colorado,14.0
2004,Base on Balls,Barry Bonds,San Francisco,232.0
2004,Batting Average,Barry Bonds,San Francisco,0.362
2004,Doubles,Lyle Overbay,Milwaukee,53.0
2004,Hits,Juan Pierre,Florida,221.0
2004,Home Runs,Adrian Beltre,Los Angeles,48.0
2004,On Base Percentage,Barry Bonds,San Francisco,0.609
2004,RBI,Vinny Castilla,Colorado,131.0
2004,Runs,Albert Pujols,St. Louis,133.0
2004,Slugging Average,Barry Bonds,San Francisco,0.812
2004,Stolen Bases,Scott Podsednik,Milwaukee,70.0
2004,Total Bases,Albert Pujols,St. Louis,389.0
2004,Triples,Juan Pierre,Florida,12.0
2005,Base on Balls,Brian Giles,San Diego,119.0
2005,Batting Average,Derrek Lee,Chicago,0.335
2005,Doubles,Derrek Lee,Chicago,50.0
2005,Hits,Derrek Lee,Chicago,199.0
2005,Home Runs,Andruw Jones,Atlanta,51.0
2005,On Base Percentage,Todd Helton,Colorado,0.445
2005,RBI,Andruw Jones,Atlanta,128.0
2005,Runs,Albert Pujols,St. Louis,129.0
2005,Slugging Average,Derrek Lee,Chicago,0.662
2005,Stolen Bases,Jose Reyes,New York,60.0
2005,Total Bases,Derrek Lee,Chicago,393.0
2005,Triples,Jose Reyes,New York,17.0
2011,Base on Balls,Joey Votto,Cincinnati,110.0
2011,Batting Average,Jose Reyes,New York,0.337
2011,Doubles,Joey Votto,Cincinnati,40.0
2011,Hits,Starlin Castro,Chicago,207.0
2011,Home Runs,Matt Kemp,Los Angeles,39.0
2011,On Base Percentage,Joey Votto,Cincinnati,0.416
2011,RBI,Matt Kemp,Los Angeles,126.0
2011,Runs,Matt Kemp,Los Angeles,115.0
2011,Slugging Average,Ryan Braun,Milwaukee,0.597
2011,Stolen Bases,Michael Bourn,Houston / Atlanta,61.0
2011,Total Bases,Matt Kemp,Los Angeles,353.0
2011,Triples,Jose Reyes,New York,16.0
1929,Base on Balls,Mel Ott,New York,113.0
1929,Batting Average,Lefty O'Doul,Philadelphia,0.398
1929,Doubles,Johnny Frederick,Brooklyn,52.0
1929,Hits,Lefty O'Doul,Philadelphia,254.0
1929,Home Runs,Chuck Klein,Philadelphia,43.0
1929,On Base Percentage,Lefty O'Doul,Philadelphia,0.465
1929,RBI,Hack Wilson,Chicago,159.0
1929,Runs,Rogers Hornsby,Chicago,156.0
1929,Slugging Average,Rogers Hornsby,Chicago,0.679
1929,Stolen Bases,Kiki Cuyler,Chicago,43.0
1929,Total Bases,Rogers Hornsby,Chicago,409.0
1929,Triples,Lloyd Waner,Pittsburgh,20.0
1915,Base on Balls,Gavvy Cravath,Philadelphia,86.0
1915,Batting Average,Larry Doyle,New York,0.32
1915,Doubles,Larry Doyle,New York,40.0
1915,Hits,Larry Doyle,New York,189.0
1915,Home Runs,Gavvy Cravath,Philadelphia,24.0
1915,On Base Percentage,Gavvy Cravath,Philadelphia,0.393
1915,RBI,Gavvy Cravath,Philadelphia,115.0
1915,Runs,Gavvy Cravath,Philadelphia,89.0
1915,Slugging Average,Gavvy Cravath,Philadelphia,0.51
1915,Stolen Bases,Max Carey,Pittsburgh,36.0
1915,Total Bases,Gavvy Cravath,Philadelphia,266.0
1915,Triples,Tom Long,St. Louis,25.0
1901,Base on Balls,Roy Thomas,Philadelphia,100.0
1901,Batting Average,Jesse Burkett,St. Louis,0.376
1901,Doubles,Tom Daly,Brooklyn,38.0
1901,Hits,Jesse Burkett,St. Louis,226.0
1901,Home Runs,Sam Crawford,Cincinnati,16.0
1901,On Base Percentage,Jesse Burkett,St. Louis,0.44
1901,RBI,Honus Wagner,Pittsburgh,126.0
1901,Runs,Jesse Burkett,St. Louis,142.0
1901,Slugging Average,Jimmy Sheckard,Brooklyn,0.534
1901,Stolen Bases,Honus Wagner,Pittsburgh,49.0
1901,Total Bases,Jesse Burkett,St. Louis,306.0
1901,Triples,Jimmy Sheckard,Brooklyn,19.0
1939,Base on Balls,Dolph Camilli,Brooklyn,110.0
1939,Batting Average,Johnny Mize,St. Louis,0.349
1939,Doubles,Enos Slaughter,St. Louis,52.0
1939,Hits,Frank McCormick,Cincinnati,209.0
1939,Home Runs,Johnny Mize,St. Louis,28.0
1939,On Base Percentage,Mel Ott,New York,0.449
1939,RBI,Frank McCormick,Cincinnati,128.0
1939,Runs,Billy Werber,Cincinnati,115.0
1939,Slugging Average,Johnny Mize,St. Louis,0.626
1939,Stolen Bases,Stan Hack,Chicago,17.0
1939,Total Bases,Johnny Mize,St. Louis,353.0
1939,Triples,Billy Herman,Chicago,18.0
1905,Base on Balls,Miller Huggins,Cincinnati,103.0
1905,Batting Average,Cy Seymour,Cincinnati,0.377
1905,Doubles,Cy Seymour,Cincinnati,40.0
1905,Hits,Cy Seymour,Cincinnati,219.0
1905,Home Runs,Fred Odwell,Cincinnati,9.0
1905,On Base Percentage,Frank Chance,Chicago,0.45
1905,RBI,Cy Seymour,Cincinnati,121.0
1905,Runs,Mike Donlin,New York,124.0
1905,Slugging Average,Cy Seymour,Cincinnati,0.325
1905,Stolen Bases,Art Devlin,New York,59.0
1905,Total Bases,Cy Seymour,Cincinnati,325.0
1905,Triples,Cy Seymour,Cincinnati,21.0
1911,Base on Balls,Jimmy Sheckard,Chicago,147.0
1911,Batting Average,Honus Wagner,Pittsburgh,0.334
1911,Doubles,Ed Konetchy,St. Louis,38.0
1911,Hits,Doc Miller,Boston,192.0
1911,Home Runs,Frank Schulte,Chicago,21.0
1911,On Base Percentage,Jimmy Sheckard,Chicago,0.434
1911,RBI,Frank Schulte,Chicago,107.0
1911,Runs,Jimmy Sheckard,Chicago,121.0
1911,Slugging Average,Frank Schulte,Chicago,0.534
1911,Stolen Bases,Bob Bescher,Cincinnati,81.0
1911,Total Bases,Frank Schulte,Chicago,308.0
1911,Triples,Larry Doyle,New York,25.0
2015,Base on Balls,Joey Votto,Cincinnati,143.0
2015,Batting Average,Dee Gordon,Miami,0.333
2015,Doubles,Matt Carpenter,St. Louis,44.0
2015,Hits,Dee Gordon,Miami,205.0
2015,Home Runs,Nolan Arenado,Colorado,42.0
2015,On Base Percentage,Bryce Harper,Washington,0.46
2015,RBI,Nolan Arenado,Colorado,130.0
2015,Runs,Bryce Harper,Washington,118.0
2015,Slugging Average,Bryce Harper,Washington,0.649
2015,Stolen Bases,Dee Gordon,Miami,58.0
2015,Total Bases,Nolan Arenado,Colorado,354.0
2015,Triples,David Peralta,Arizona,10.0
2001,Base on Balls,Barry Bonds,San Francisco,177.0
2001,Batting Average,Larry Walker,Colorado,0.35
2001,Doubles,Lance Berkman,Houston,55.0
2001,Hits,Rich Aurilia,San Francisco,206.0
2001,Home Runs,Barry Bonds,San Francisco,73.0
2001,On Base Percentage,Barry Bonds,San Francisco,0.515
2001,RBI,Sammy Sosa,Chicago,160.0
2001,Runs,Sammy Sosa,Chicago,146.0
2001,Slugging Average,Barry Bonds,San Francisco,0.863
2001,Stolen Bases,Juan Pierre,Colorado,46.0
2001,Total Bases,Sammy Sosa,Chicago,425.0
2001,Triples,Jimmy Rollins,Philadelphia,12.0
2000,Base on Balls,Barry Bonds,San Francisco,117.0
2000,Batting Average,Todd Helton,Colorado,0.372
2000,Doubles,Todd Helton,Colorado,59.0
2000,Hits,Todd Helton,Colorado,216.0
2000,Home Runs,Sammy Sosa,Chicago,50.0
2000,On Base Percentage,Todd Helton,Colorado,0.463
2000,RBI,Todd Helton,Colorado,147.0
2000,Runs,Jeff Bagwell,Houston,152.0
2000,Slugging Average,Todd Helton,Colorado,0.698
2000,Stolen Bases,Luis Castillo,Florida,62.0
2000,Total Bases,Todd Helton,Colorado,405.0
2000,Triples,Tony Womack,Arizona,14.0
2014,Base on Balls,Matt Carpenter,St. Louis,95.0
2014,Batting Average,Justin Morneau,Colorado,0.319
2014,Doubles,Jonathan Lucroy,Milwaukee,53.0
2014,Hits,Ben Revere,Philadelphia,184.0
2014,Home Runs,Giancarlo Stanton,Miami,37.0
2014,On Base Percentage,Andrew McCutchen,Pittsburgh,0.41
2014,RBI,Adrian Gonzalez,Los Angeles,116.0
2014,Runs,Anthony Rendon,Washington,111.0
2014,Slugging Average,Giancarlo Stanton,Miami,0.555
2014,Stolen Bases,Dee Strange-Gordon,Los Angeles,64.0
2014,Total Bases,Giancarlo Stanton,Miami,299.0
2014,Triples,Dee Strange-Gordon,Los Angeles,12.0
1910,Base on Balls,Miller Huggins,St. Louis,116.0
1910,Batting Average,Sherry Magee,Philadelphia,0.331
1910,Doubles,Bobby Byrne,Pittsburgh,43.0
1910,Hits,Bobby Byrne,Pittsburgh,178.0
1910,Home Runs,Fred Beck,Boston,10.0
1910,On Base Percentage,Sherry Magee,Philadelphia,0.445
1910,RBI,Sherry Magee,Philadelphia,123.0
1910,Runs,Sherry Magee,Philadelphia,110.0
1910,Slugging Average,Sherry Magee,Philadelphia,0.507
1910,Stolen Bases,Bob Bescher,Cincinnati,70.0
1910,Total Bases,Sherry Magee,Philadelphia,263.0
1910,Triples,Mike Mitchell,Cincinnati,18.0
1904,Base on Balls,Roy Thomas,Philadelphia,102.0
1904,Batting Average,Honus Wagner,Pittsburgh,0.349
1904,Doubles,Honus Wagner,Pittsburgh,44.0
1904,Hits,Ginger Beaumont,Pittsburgh,185.0
1904,Home Runs,Harry Lumley,Brooklyn,9.0
1904,On Base Percentage,Honus Wagner,Pittsburgh,0.423
1904,RBI,Bill Dahlen,New York,80.0
1904,Runs,George Browne,New York,99.0
1904,Slugging Average,Honus Wagner,Pittsburgh,0.52
1904,Stolen Bases,Honus Wagner,Pittsburgh,53.0
1904,Total Bases,Honus Wagner,Pittsburgh,255.0
1904,Triples,Harry Lumley,Brooklyn,18.0
1938,Base on Balls,Dolph Camilli,Brooklyn,119.0
1938,Batting Average,Ernie Lombardi,Cincinnati,0.342
1938,Doubles,Joe Medwick,St. Louis,47.0
1938,Hits,Frank McCormick,Cincinnati,209.0
1938,Home Runs,Mel Ott,New York,36.0
1938,On Base Percentage,Mel Ott,New York,0.442
1938,RBI,Joe Medwick,St. Louis,122.0
1938,Runs,Mel Ott,New York,116.0
1938,Slugging Average,Johnny Mize,St. Louis,0.614
1938,Stolen Bases,Stan Hack,Chicago,16.0
1938,Total Bases,Johnny Mize,St. Louis,326.0
1938,Triples,Johnny Mize,St. Louis,16.0
1912,Base on Balls,Jimmy Sheckard,Chicago,122.0
1912,Batting Average,Heinie Zimmerman,Chicago,0.372
1912,Doubles,Heinie Zimmerman,Chicago,41.0
1912,Hits,Heinie Zimmerman,Chicago,207.0
1912,Home Runs,Heinie Zimmerman,Chicago,14.0
1912,On Base Percentage,Johnny Evers,Chicago,0.431
1912,RBI,Honus Wagner,Pittsburgh,102.0
1912,Runs,Bob Bescher,Cincinnati,120.0
1912,Slugging Average,Heinie Zimmerman,Chicago,0.571
1912,Stolen Bases,Bob Bescher,Cincinnati,67.0
1912,Total Bases,Heinie Zimmerman,Chicago,318.0
1912,Triples,Chief Wilson,Pittsburgh,36.0
1906,Base on Balls,Roy Thomas,Philadelphia,107.0
1906,Batting Average,Honus Wagner,Pittsburgh,0.339
1906,Doubles,Honus Wagner,Pittsburgh,38.0
1906,Hits,Harry Steinfeldt,Chicago,176.0
1906,Home Runs,Tim Jordan,Brooklyn,12.0
1906,On Base Percentage,Roger Bresnahan,New York,0.419
1906,RBI,Jim Nealon,Pittsburgh,83.0
1906,Runs,Frank Chance,Chicago,103.0
1906,Slugging Average,Harry Lumley,Brooklyn,0.477
1906,Stolen Bases,Frank Chance,Chicago,57.0
1906,Total Bases,Honus Wagner,Pittsburgh,237.0
1906,Triples,Fred Clarke,Pittsburgh,13.0
2002,Base on Balls,Barry Bonds,San Francisco,198.0
2002,Batting Average,Barry Bonds,San Francisco,0.37
2002,Doubles,Bobby Abreu,Philadelphia,50.0
2002,Hits,Vladimir Guerrero,Montreal,206.0
2002,Home Runs,Sammy Sosa,Chicago,49.0
2002,On Base Percentage,Barry Bonds,San Francisco,0.582
2002,RBI,Lance Berkman,Houston,128.0
2002,Runs,Sammy Sosa,Chicago,122.0
2002,Slugging Average,Barry Bonds,San Francisco,0.799
2002,Stolen Bases,Luis Castillo,Florida,48.0
2002,Total Bases,Vladimir Guerrero,Montreal,364.0
2002,Triples,Jimmy Rollins,Philadelphia,10.0
2016,Base on Balls,Paul Goldschmidt,Arizona,110.0
2016,Batting Average,DJ LeMahieu,Colorado,0.348
2016,Doubles,Daniel Murphy,Washington,47.0
2016,Hits,Jean Segura,Arizona,203.0
2016,Home Runs,Nolan Arenado,Colorado,41.0
2016,On Base Percentage,Joey Votto,Cincinnati,0.434
2016,RBI,Nolan Arenado,Colorado,133.0
2016,Runs,Kris Bryant,Chicago,121.0
2016,Slugging Average,Daniel Murphy,Washington,0.595
2016,Stolen Bases,Jonathan Villar,Milwaukee,62.0
2016,Total Bases,Nolan Arenado,Colorado,352.0
2016,Triples,Brandon Crawford,San Francisco,11.0
1899,Base on Balls,John McGraw,Baltimore,124.0
1899,Batting Average,Ed Delahanty,Philadelphia,0.41
1899,Doubles,Ed Delahanty,Philadelphia,55.0
1899,Hits,Ed Delahanty,Philadelphia,238.0
1899,Home Runs,Buck Freeman,Washington,25.0
1899,On Base Percentage,John McGraw,Baltimore,0.547
1899,RBI,Ed Delahanty,Philadelphia,137.0
1899,Runs,Willie Keeler,Brooklyn,140.0
1899,Slugging Average,Ed Delahanty,Philadelphia,0.582
1899,Stolen Bases,Jimmy Sheckard,Baltimore,77.0
1899,Total Bases,Ed Delahanty,Philadelphia,338.0
1899,Triples,Jimmy Williams,Pittsburgh,27.0
1898,Base on Balls,John McGraw,Baltimore,112.0
1898,Batting Average,Willie Keeler,Baltimore,0.385
1898,Doubles,Nap Lajoie,Philadelphia,43.0
1898,Hits,Willie Keeler,Baltimore,216.0
1898,Home Runs,Jimmy Collins,Boston,15.0
1898,On Base Percentage,Billy Hamilton,Boston,0.48
1898,RBI,Nap Lajoie,Philadelphia,127.0
1898,Runs,John McGraw,Baltimore,143.0
1898,Slugging Average,John Anderson,Brooklyn,0.494
1898,Stolen Bases,Ed Delahanty,Philadelphia,58.0
1898,Total Bases,Jimmy Collins,Boston,286.0
1898,Triples,John Anderson,Brooklyn,22.0
2017,Base on Balls,Joey Votto,Cincinnati Reds,134.0
2017,Batting Average,Charlie Blackmon,Colorado Rockies,0.331
2017,Doubles,Nolan Arenado,Colorado Rockies,43.0
2017,Hits,Charlie Blackmon,Colorado Rockies,213.0
2017,Home Runs,Giancarlo Stanton,Miami Marlins,59.0
2017,On Base Percentage,Joey Votto,Cincinnati Reds,0.454
2017,RBI,Giancarlo Stanton,Miami Marlins,132.0
2017,Runs,Charlie Blackmon,Colorado Rockies,137.0
2017,Slugging Average,Giancarlo Stanton,Miami Marlins,0.631
2017,Stolen Bases,Dee Gordon,Miami Marlins,60.0
2017,Total Bases,Charlie Blackmon,Colorado Rockies,387.0
2017,Triples,Charlie Blackmon,Colorado Rockies,14.0
2003,Base on Balls,Barry Bonds,San Francisco,148.0
2003,Batting Average,Albert Pujols,St. Louis,0.359
2003,Doubles,Albert Pujols,St. Louis,51.0
2003,Hits,Albert Pujols,St. Louis,212.0
2003,Home Runs,Jim Thome,Philadelphia,47.0
2003,On Base Percentage,Barry Bonds,San Francisco,0.529
2003,RBI,Preston Wilson,Colorado,141.0
2003,Runs,Albert Pujols,St. Louis,137.0
2003,Slugging Average,Barry Bonds,San Francisco,0.749
2003,Stolen Bases,Juan Pierre,Florida,45.0
2003,Total Bases,Albert Pujols,St. Louis,394.0
2003,Triples,Steve Finley,Arizona,10.0
1907,Base on Balls,Miller Huggins,Cincinnati,83.0
1907,Batting Average,Honus Wagner,Pittsburgh,0.35
1907,Doubles,Honus Wagner,Pittsburgh,38.0
1907,Hits,Ginger Beaumont,Boston,187.0
1907,Home Runs,Dave Brain,Boston,10.0
1907,On Base Percentage,Honus Wagner,Pittsburgh,0.408
1907,RBI,Sherry Magee,Philadelphia,85.0
1907,Runs,Spike Shannon,New York,104.0
1907,Slugging Average,Honus Wagner,Pittsburgh,0.513
1907,Stolen Bases,Honus Wagner,Pittsburgh,61.0
1907,Total Bases,Honus Wagner,Pittsburgh,264.0
1907,Triples,Whitey Alperman,Brooklyn,16.0
1913,Base on Balls,Bob Bescher,Cincinnati,94.0
1913,Batting Average,Jake Daubert,Brooklyn,0.35
1913,Doubles,Red Smith,Brooklyn,40.0
1913,Hits,Gavvy Cravath,Philadelphia,179.0
1913,Home Runs,Gavvy Cravath,Philadelphia,19.0
1913,On Base Percentage,Miller Huggins,St. Louis,0.432
1913,RBI,Gavvy Cravath,Philadelphia,128.0
1913,Runs,Max Carey,Pittsburgh,99.0
1913,Slugging Average,Gavvy Cravath,Philadelphia,0.568
1913,Stolen Bases,Max Carey,Pittsburgh,61.0
1913,Total Bases,Gavvy Cravath,Philadelphia,298.0
1913,Triples,Vic Saier,Chicago,21.0
1974,Base on Balls,Darrell Evans,Atlanta,126.0
1974,Batting Average,Ralph Garr,Atlanta,0.353
1974,Doubles,Pete Rose,Cincinnati,45.0
1974,Hits,Ralph Garr,Atlanta,214.0
1974,Home Runs,Mike Schmidt,Philadelphia,36.0
1974,On Base Percentage,Joe Morgan,Cincinnati,0.43
1974,RBI,Johnny Bench,Cincinnati,129.0
1974,Runs,Pete Rose,Cincinnati,110.0
1974,Slugging Average,Mike Schmidt,Philadelphia,0.546
1974,Stolen Bases,Lou Brock,St. Louis,118.0
1974,Total Bases,Johnny Bench,Cincinnati,315.0
1974,Triples,Ralph Garr,Atlanta,17.0
1960,Base on Balls,Richie Ashburn,Chicago,116.0
1960,Batting Average,Dick Groat,Pittsburgh,0.325
1960,Doubles,Vada Pinson,Cincinnati,37.0
