Year,Statistic,Name,Team,#
1911,Base on Balls,Jimmy Sheckard,Chicago,147
1911,Batting Average,Honus Wagner,Pittsburgh,.334
1911,Doubles,Ed Konetchy,St. Louis,38
1911,Hits,Doc Miller,Boston,192
1911,Home Runs,Frank Schulte,Chicago,21
1911,On Base Percentage,Jimmy Sheckard,Chicago,.434
1911,RBI,Frank Schulte,Chicago,107
1911,Runs,Jimmy Sheckard,Chicago,121
1911,Slugging Average,Frank Schulte,Chicago,.534
1911,Stolen Bases,Bob Bescher,Cincinnati,81
1911,Total Bases,Frank Schulte,Chicago,308
1911,Triples,Larry Doyle,New York,25
1911,Statistic,Name(s),Team(s),#
