Year,Statistic,Name,Team,#
1914,Base on Balls,Miller Huggins,St. Louis,105
1914,Batting Average,Jake Daubert,Brooklyn,.329
1914,Doubles,Sherry Magee,Philadelphia,39
1914,Hits,Sherry Magee,Philadelphia,171
1914,Home Runs,Gavvy Cravath,Philadelphia,19
1914,On Base Percentage,Casey Stengel,Brooklyn,.404
1914,RBI,Sherry Magee,Philadelphia,103
1914,Runs,George Burns,New York,100
1914,Slugging Average,Sherry Magee,Philadelphia,.509
1914,Stolen Bases,George Burns,New York,62
1914,Total Bases,Sherry Magee,Philadelphia,277
1914,Triples,Max Carey,Pittsburgh,17
1914,Statistic,Name(s),Team(s),#
