Year,Statistic,Name,Team,#
1909,Base on Balls,Fred Clarke,Pittsburgh,80
1909,Batting Average,Honus Wagner,Pittsburgh,.339
1909,Doubles,Honus Wagner,Pittsburgh,39
1909,Hits,Larry Doyle,New York,172
1909,Home Runs,Red Murray,New York,7
1909,On Base Percentage,Honus Wagner,Pittsburgh,.420
1909,RBI,Honus Wagner,Pittsburgh,100
1909,Runs,Tommy Leach,Pittsburgh,126
1909,Slugging Average,Honus Wagner,Pittsburgh,.489
1909,Stolen Bases,Bob Bescher,Cincinnati,54
1909,Total Bases,Honus Wagner,Pittsburgh,242
1909,Triples,Mike Mitchell,Pittsburgh,17
1909,Statistic,Name(s),Team(s),#
