Year,Statistic,Name,Team,#
1910,Base on Balls,Miller Huggins,St. Louis,116
1910,Batting Average,Sherry Magee,Philadelphia,.331
1910,Doubles,Bobby Byrne,Pittsburgh,43
1910,Hits,Bobby Byrne,Pittsburgh,178
1910,Home Runs,Fred Beck,Boston,10
1910,On Base Percentage,Sherry Magee,Philadelphia,.445
1910,RBI,Sherry Magee,Philadelphia,123
1910,Runs,Sherry Magee,Philadelphia,110
1910,Slugging Average,Sherry Magee,Philadelphia,.507
1910,Stolen Bases,Bob Bescher,Cincinnati,70
1910,Total Bases,Sherry Magee,Philadelphia,263
1910,Triples,Mike Mitchell,Cincinnati,18
1910,Statistic,Name(s),Team(s),#
