Year,Statistic,Name,Team,#
1913,Base on Balls,Bob Bescher,Cincinnati,94
1913,Batting Average,Jake Daubert,Brooklyn,.350
1913,Doubles,Red Smith,Brooklyn,40
1913,Hits,Gavvy Cravath,Philadelphia,179
1913,Home Runs,Gavvy Cravath,Philadelphia,19
1913,On Base Percentage,Miller Huggins,St. Louis,.432
1913,RBI,Gavvy Cravath,Philadelphia,128
1913,Runs,Max Carey,Pittsburgh,99
1913,Slugging Average,Gavvy Cravath,Philadelphia,.568
1913,Stolen Bases,Max Carey,Pittsburgh,61
1913,Total Bases,Gavvy Cravath,Philadelphia,298
1913,Triples,Vic Saier,Chicago,21
1913,Statistic,Name(s),Team(s),#
